unit,level,parent,unit_id,parent_id,lithology,age
KAPP TOSCANA GP,GROUP,,79,,"The Kapp Toscana Group comprises shales, siltstones and sandstones of Late Triassic to Middle Jurassic (Bathonian) age in Svalbard and on the Barents Sea Shelf. The group starts with the grey shales of the Tschermakfjellet Formation which normally grade upward into the immature sandstones of the De Geerdalen Formation (Storfjorden Subgroup). This interval contains a number of coarsening-upward successions with increasing proportions of sandstone towards the SW, NE and E, while shales dominate in the central areas of Svalbard. On Svalbard, the upper part forms a condensed clastic sedimentary succession, only a few metres thick in southern and western Svalbard, which gradually is more completely developed towards the east (Wilhelmøya Subgroup). Equivalents on the Barents Sea Shelf show a comparatively thick development (Realgrunnen Subgroup; Worsley et al. 1988). Sandstones and shales also dominate the group in the Barents Sea.",Ladinian to Bathonian.
KLAPPMYSS FM,FORMATION,SASSENDALEN GP,80,140.0,"Medium to dark grey shales pass upwards into interbedded shales, siltstones and sandstones in the type well. The reference well shows a similar trend, but with more shale throughout.",Palynofloras suggest a Smithian to Spathian age.
KLIPPFISK FM,FORMATION,ADVENTDALEN GP,81,1.0,"Limestone, marl and calcareous sandstone.","Late Berriasian to Hauterivian, based on palynology, nanofossils and bivalves."
KNURR FM,FORMATION,ADVENTDALEN GP,82,1.0,"In the type well the formation consists of dark grey to greyish brown claystone with thin limestone and dolomite interbeds. Thin sandstones are also seen in the unit's lower parts, but these disappear laterally into the Hammerfest Basin. Red to yellow brown claystone generally occurs in the upper parts of the formation.",Dinoflagellates and foraminifera suggest a Ryazanian/Valanginian to early Barremian age.
KOBBE FM,FORMATION,SASSENDALEN GP,83,140.0,"A basal 20 m thick shale unit passes up into interbedded shale, siltstone and carbonate cemented sandstone.","An Anisian age is suggested by palynomorphs, with a probable break in deposition in the early and/or late Anisian."
KOLJE FM,FORMATION,ADVENTDALEN GP,84,1.0,"Dark brown to dark grey shale and claystone dominate, with minor interbeds of pale limestone and dolomite. The upper part of the formation also has thin interbeds of light grey-brown siltstone and sandstone. The reference well displays similar lithologies.",An early Barremian to late Barremian/early Aptian age is suggested.
KOLMULE FM,FORMATION,ADVENTDALEN GP,85,1.0,"Dark grey to green claystone and shale, silty in parts with minor thin siltstone interbeds and limestone and dolomite stringers. Traces of glauconite and pyrite occur. The reference well has the same lithology.",Aptian to mid-Cenomanian.
KRABBE MBR,MEMBER,FRUHOLMEN FM,86,46.0,Shale.,Rhaetian (based on palynology).
KRILL MBR,MEMBER,HEKKINGEN FM,203,63.0,"The Krill Member is dominated by brownish-grey to very dark grey shale and mudstone with occasional thin interbeds of limestone, dolomite, siltstone and sandstone.",Kimmeridgian – Volgian.
KROSSFJORD FM,FORMATION,VIKING GP,87,188.0,"The formation consists of sandstones, light grey-brown in colour, medium to coarse grained, well sorted, and loose to very friable. Occasionally calcite cemented streaks occur. The lower portion of the Krossfjord Formation is slightly argillaceous and carbonaceous with minor shale intercalations.",Bathonian.
KUPFERSCHIEFER FM,FORMATION,ZECHSTEIN GP,88,194.0,"Thin, grey-black, radioactive, locally calcareous organic-rich shale. In the type well it is a dark brown to black dolomitic shale. In the reference wells it is dark grey to black, carbonaceous and micaceous shale, usually laminated and fissile.",Late Permian.
KUTLING MBR,MEMBER,KLIPPFISK FM,201,81.0,The Kutling Member is a condensed carbonate succession consisting of limestones and marls and represents the entire Klippfisk Formation on the Bjarmeland Platform.,"Late Berriasian – Hauterivian, based on palynology, nanofossils, bivalves."
KVEITE FM,FORMATION,NYGRUNNEN GP,89,122.0,Greenish-grey to grey shales and claystones show thin interbeds of limestone and siltstone. A tuffaceous and/or glauconitic component is reported from several wells.,Total span appears to be late Cenomanian to early Maastrichtian.
KVITING FM,FORMATION,NYGRUNNEN GP,90,122.0,"The type section shows calcareous sandstones with interbedded sandy and glauconitic mudstones. Limestones in the reference well are interbedded with, and grade up into sandy claystones.",Campanian.
KVITNOS FM,FORMATION,SHETLAND GP,91,143.0,Grey and greyish green calcareous claystones with carbonate and sandstone stringers.,Turonian to Santonian.
KYRRE FM,FORMATION,SHETLAND GP,92,143.0,"The formation consists of mudstones with occasional limestone beds. Some sandstone beds are found in parts of the Agat area. The mudstones are medium grey to grey, silty to calcareous, occasionally pyritic, glauconitic or micaceous. The sandstones are clear to white, and very fine to fine grained.",Late Turonian to Campanian.
LANGE FM,FORMATION,CROMER KNOLL GP,94,23.0,Dominant light/medium grey to green and brown claystones contain stringers of carbonates and sandstones. Claystones in the Barremian-Aptian interval are often reddish-brown and are occasionally interbedded with tuffs.,Ryazanian to Turonian.
LISTA FM,FORMATION,ROGALAND GP,95,131.0,"The Lista Formation consists of brown to grey-brown shales, which are generally non-tuffaceous and poorly laminated. Occasionally it contains stringers of limestone, dolomite and pyrite. Thin sandstone layers are locally developed. They are less than 5 m thick, and are most common in the lower part of the formation.",Late Paleocene.
LOMVI FM,FORMATION,HEGRE GP,96,61.0,"The Lomvi Formation consists of fine to coarse-grained kaolinitic sandstone with subordinate and thin red marls and claystones. The sandstones, which are light brown, grey or white, are generally more coarse-grained in the reference well than in the type well.",Triassic; no more precise dating available.
LUNDE FM,FORMATION,HEGRE GP,97,61.0,"The formation is an interbedded sequence of very fine to very coarse-grained sandstones (2 to 10 m thick), claystones, marls and shales.","Late Triassic, possibly Norian to early Rhaetian age."
LYR FM,FORMATION,CROMER KNOLL GP,98,23.0,The formation consists of light/medium grey to light greyish-green marls with interbedded carbonates.,Valanginian to Early Aptian.
LYSING FM,FORMATION,CROMER KNOLL GP,99,23.0,"Predominantly fine to medium, occasionally coarse grained, white-grey sandstones, partly carbonate-cemented and interbedded with shales.",Late Cenomanian to Turonian/Coniacian.
MANDAL FM,FORMATION,TYNE GP,101,177.0,"The formation consists of a dark grey-brown to black, slightly to non-calcareous, carbonaceous claystone becoming fissile in places. It is characterized by a very high level of radioactivity which is a function of organic carbon content. In addition it has an anomalously low velocity, a high resistivity and a low density. It may contain thin stringers of limestone/dolomite and, in some areas, sandstone (e.g. 1/9-3 R).",Volgian to Ryazanian.
MAUREEN FM,FORMATION,ROGALAND GP,102,131.0,"The Maureen Formation consists of sandstones that are slightly to very calcareous and often contain reworked limestones. The sandstones are interbedded with brown and dark grey shales, and are fine to medium grained, locally very coarse.",Early Paleocene.
MEILE MBR (INFORMAL),MEMBER,HEIMDAL FM,103,62.0,"The Meile Member consists of clean, well-sorted sandstones, which are very fine to fine grained, friable to hard, and clear to white.",Paleocene.
MELKE FM,FORMATION,VIKING GP,105,188.0,"Dominantly claystone, with siltstone and limestone interbeds and stringers of sandstone. The claystone is dark grey to dark brown and slightly calcareous.",Bajocian to Oxfordian.
MIME FM,FORMATION,CROMER KNOLL GP,106,23.0,"The formation is dominated by limestones and marls. It often contains impure carbonates that are reworked and mixed with smaller quantities of sand and silt. The formation is sometimes chalky. The matrix is usually very calcareous. Oolites are observed in some wells in the East Shetland Basin. The colour is usually white or light pink, but may vary slightly on account of the sand/silt mixture.","The formation is time-transgressive, and is dated to Late Valanginian to Albian. It is oldest in the deeper parts along the basin margins and becomes younger up along the flanks. In most of the East Shetland Basin, along the Utsira, Bergen, Sele and Jæren highs, and along the flanks of the Viking Graben, it is usually of Barremian/Hauterivian age (Fig 5.4)."
MOLO FM,FORMATION,NORDLAND GP,209,113.0,"The lithology varies considerably throughout its distribution area. In most wells and boreholes from proximal parts, the unit consists mainly of red to yellow coloured sand. Some sections also contain well rounded, rust-tinted pebbles. In some wells glauconitic sand and mica-rich sand are recorded. In the Draugen Field (Trøndelag Platform), where the distal part has been investigated, the unit contains glauconitic sand, silt and clay.",Late Miocene – Early Pliocene.
NANSEN FM,FORMATION,STATFJORD GP,108,157.0,"In the type well the formation consists of medium- to coarse-grained, fairly well-sorted, homogeneous, white sandstones with a calcite-cement and a subordinate kaolinite matrix. Occasional horizons with granules or pebbles are present. Carbonaceous material and mica are rare but glauconite is quite common. Thin shale beds containing marine fossils are present, most commonly in its upper part.",Probably Hettangian to Early Sinemurian.
NAUST FM,FORMATION,NORDLAND GP,109,113.0,"Interbedded claystone, siltstone and sand, occasionally with very coarse clastics in the upper part.",Late Pliocene.
NESS FM,FORMATION,BRENT GP,110,16.0,"The formation consists of an association of coals, shales, siltstones and very fine to medium grained sandstones. The formation is carbonaceous throughout and contains numerous rootlet horizons. Small scale cross-bedding and horizontal bedding are common. Synsedimentary deformation is frequently observed. The shales are silty, fissile and frequently pyritic. The formation occasionally shows some marine influence. Coarsening and fining upward sequences are common features. The varied lithology produces an irregular but distinctive gamma ray and sonic response.",Bajocian.
NISE FM,FORMATION,SHETLAND GP,112,143.0,Dominant grey and greyish-green claystones interbedded with carbonate and sandstone stringers.,Santonian to Campanian.
NORDLAND GP,GROUP,,113,,"In the North Sea the Nordland Group is dominated by marine claystones. These are grey, sometimes greenish-grey and grey-brown, soft, locally silty and micaceous. The sandy Utsira Formation occurs in the lower part of the group in the Viking Graben area. The uppermost part of the group consists of unconsolidated clays and sands with glacial deposits uppermost.",Middle Miocene to Recent (North Sea)3).
NORDMELA FM,FORMATION,REALGRUNNEN SUBGP,118,128.0,"The formation consists of interbedded siltstones, sandstones, shales and claystones with minor coals. Sandstones become more common towards the top.","The formation extends from the Sinemurian to the late Pliensbachian in the reference area. Its top may be diachronous, younging eastwards into the Toarcian in the type section."
NOT FM,FORMATION,FANGST GP,120,38.0,Claystones with micronodular pyrite coarsen upwards into bioturbated fine-grained sandstones which are locally mica-rich and carbonate cemented.,Aalenian to Bajocian.
NYGRUNNEN GP,GROUP,,122,,"Greenish grey to grey claystones with thin limestone intervals in the Tromsø Basin and western parts of the Hammerfest Basin pass eastwards and southeastwards into more calcareous ( 7121/5-1) or sandy ( 7120/12-1) condensed sequences. The claystones are here assigned to the Kveite Formation, the condensed sequences to the Kviting Formation. Central wells on Tromsøflaket, e.g. in the 7120/9 area, show a transitional development with a lower Kviting limestone passing up into a Kveite shale. Further exploration may show the need for differentiation between sandy and calcareous units, but there is insufficient data at present.",The group appears to represent remnants of a depositional sequence with an age span from late Cenomanian to Maastrichtian. The Tromsø Basin was a depositional centre throughout most of this period. Areas further east were either only transgressed at times of maximum sea level and/or display only condensed sections of the original sequence. The Campanian seems to be the most widespread age represented in wells.
OSEBERG FM,FORMATION,BRENT GP,123,16.0,"The name Oseberg Formation should be used for the relatively homogeneous, predominantly coarse-grained sandstone unit, 20-60 m thick, that is well documented from the base of the Brent Group in the Oseberg Field and neighbouring fields. The sandstone unit now defined as the Oseberg Formation has long been considered anomalous in the sense that it does not fit well into the “normal” Brent Group succession as is seen, for example, in well 34/10-8. The basal unit`s (now Oseberg Formation) anomalous coarseness an homogeneity, its common, sharply defined base and “blocky” log pattern, and the indications of a Late Toarcian/Aalenian age for its lowermost parts in some wells have always been awkward aspects of Brent Group lithostratigraphy where the sand unit was interpreted as Etive Formation or as a combined Rannoch/ Etive Formation.",Late Toarcian – Early Bajocian.
POLARREV FM,FORMATION,BJARMELAND GP,124,12.0,"The formation consists of a variety of facies that characterise carbonate buildups. The bulk of the formation consists of bryozoan- and bryozoan/Tubiphytes-dominated wackestones and cementstones with abundant early marine cement (Fig 9.44). Wackestones dominate the bioherm encountered in the type well, where a sparse assemblage of fenestrate bryozoans, brachiopods and crinoids formed a loose framework that trapped the carbonate mud. The wackestones also display Stromatactis-like cavities, which form a complex interconnected pore system. The cavities are often partly supported by fenestrate bryozoans and brachiopods, and are often filled by geopetal internal sediments with a grainstone or packstone fabric. The geopetal fabrics indicate that deposition occurred on primary slopes of up to 45o (Blendinger et al. 1997). The limestone is massive to thickly bedded, white to light grey, locally pinkish grey and light brownish grey in colour. In the lower part of the formation more thin bedded and silty limestones are locally present. The formation has a characteristic (very) low gamma ray response throughout, except for the thin units of silty limestones in the lower part (Fig 9.39).","Fusulinids suggest a mid-Sakmarian age for the basal part of the formation in wells 7229/11-1 and 7121/1-1 R and a late Sakmarian age near the top of the formation in the same wells (Davydov 1998, Davydov 2000). Comparisons with overlying units suggest that the formational top is of ?earliest Artinskian age."
RAN SANDSTONE UNITS,FORMATION,CROMER KNOLL GP,125,23.0,"The colour of the sandstones ranges from white to light grey, green and brown to reddish-brown. The sandstones are generally argillaceous, sometimes calcareous and glauconitic, and usually do not represent potential reservoir rocks in these wells.",Ryazanian-Albian.
RANNOCH FM,FORMATION,BRENT GP,126,16.0,"In the type well the formation is a light brown, fine grained, well sorted, friable, very micaceous sandstone. In the Brent Field area the lower part is more argillaceous with siltstones and thin shales.",Late Toarcian to Bajocian.
RATTRAY FM,FORMATION,FLADEN GP,206,205.0,"In the type section and adjacent wells (BP 21/9-1 and Shell/Esso 22/6-1), the formation consists of a thick series of basaltic lava flows (1 to 9 m thick where cored), with interbedded agglomerates, tuffs and tuffaceous sediments. The lavas are grey or purplish, vesicular and often partially altered, and locally completely laterised. Large fresh pyroxene phenocrysts and smaller altered olivine phenocrysts are set in a groundmass of pyroxene and feldspar. Autobrecciation, late hydrothermal activity and deep weathering and oxidation are fairly common. The epiclastics, ranging from agglomerate to tuffs, comprise lava and phenocryst clasts, or primary pumice and ? lapilli fragments. Only minor pyroclastics have been recognised. Interbedded sediments are present towards the base of the type section, consisting of dominantly red to brown mudstone, which is soft to firm and locally calcareous. Minor amounts of red-brown or grey-green siltstone and fine grained, friable, brown sandstone are present. Lateral lithological and petrographical variations have been described by Howitt and others (1975).","Present evidence indicates a Middle Jurassic age (Bajocian–Bathonian). In the southern part of the volcanic province the interbedded red-beds are barren, but sparsely fossiliferous grey beds in the north near the base and top of the formation yield Bajocian–Bathonian dates, based on floral dating and rare ostracods. Radiometric dating of whole-rock samples which are sheared, altered and often with secondary mineralization has provided a range of minimum ages from 165+/- 4 Ma (million years) to 109+/- 2 Ma. No systematic change in age has been recognized and the volcanic are assumed to be essentially the product of one synchronous episode."
RAUDE FM,FORMATION,STATFJORD GP,127,157.0,"In the type well the basal part of the formation consists of a coarsening upward sequence of grey, green, and red-brown silty claystones, grey arkosic sandstones and white, pink and grey-brown dolomitic limestones. This basal part of the section is often difficult to recognise away from the type well and is locally absent. Above 2905 m in the type well the formation consists of approximately equal amounts of sandstone and silty shale. These sandstones are fine to medium grained and poor to moderately sorted with subangular grains. They are generally micaceous and have a kaolinitic matrix. The silty shales are grey and light green or occasionally red-brown in colour, and micromicaceous. Carbonaceous debris, sometimes in thin laminae, is present but distinct lignite beds are absent. Away from the type well the sandstone percentage in the upper part of the formation may vary from about 15 to about 75. In the area of the Brent and Statfjord fields the average sandstone bed thickness is about 2.5 m and shale beds average about 4 m in thickness. Correlation of individual beds from well to well is virtually impossible.",Rhaetian. The top of the formation may approximate to the Rhaetian – Lower Jurassic boundary in the type well but is probably older to the west (Fig 1.18).
REKE MBR,MEMBER,FRUHOLMEN FM,130,46.0,Sandstone.,Norian - ?Rhaetian (based on palynology).
ROGALAND GP,GROUP,,131,,"Dominant lithologies in the west are sandstones interbedded with shales. These sandstones form lobes which passes laterally into shales eastwards, and in most of the Norwegian sector the Rogaland Group consists of argillaceous marine sediments. The basal deposits frequently contain reworked limestones and marls. Towards the top of the group the shales become increasingly tuffaceous.",Paleocene - Early Eocene (North Sea).
ROGN FM,FORMATION,VIKING GP,134,188.0,The formation shows a coarsening upward sequence from siltstones and shales to sandstones which constitute the bulk of the unit.,Oxfordian to Kimmeridgian.
ROR FM,FORMATION,BÅT GP,135,22.0,"Dominant grey to dark grey mudstones contain interbedded silty and sandy coarsening upwards sequences, commonly a few metres thick. Such sequences become more frequent towards the top of the formation, giving the unit an overall coarsening upwards trend over most of Haltenbanken.",Pliensbachian to Toarcian.
ROTLIEGEND GP,GROUP,,136,,"The Rotliegend Group consists of a sequence of clays, shales, sandstones and minor conglomerates deposited in a continental environment. Volcanic rocks including tuffaceous sediments are common in the lower part. The sediments are frequently red, and diagnostic floras are rare resulting in poor chronostratigraphic control. In well 7/3-1 the rocks are described as a continental red-bed sequence of reddish brown, very fine grained sandstone, argillaceous in part, with variable amounts of siliceous and carbonate cements. Dark, red micaceous non-calcareous shales are interbedded with the sandstone and become more common towards the base where the whole section becomes finer grained. In well 17/4-1 rocks of probable Rotliegend age include conglomerate with pebbles of quartzite, gneiss, acid volcanic rocks and mica schist in a well-cemented argillaceous and sandy matrix.",Early Permian.
RØDBY FM,FORMATION,CROMER KNOLL GP,137,23.0,"Mainly red-brown marlstones, but green and grey colours may occur. Glauconite and pyrite may be present. Sandstones and siltstones are known to be present locally.",The formation is of Albian age (locally Early Cenomanian in the Danish sector (Jensen et al. 1986)).
RØYE FM,FORMATION,TEMPELFJORDEN GP,138,167.0,"Silicified sediments dominate the Røye Formation as the result of early silicification processes that were sourced by abundant silica sponge spicules. On the eastern Finnmark Platform, the lower part of the Røye Formation consists of dark grey to black, silicified calcareous claystone with minor pyrite and traces of organic material (e.g. 1745.4 to 1728 m in well 7128/6-1; (Fig 9.54). The lithology of the lower part of the formation changes somewhat toward the Loppa High where it is characterised by interbedded silicified marls, silty carbonate mudstone and calcareous claystone with some thin beds of spiculitic cherts (e.g. 3177 to 2860 m in well 7120/1-1 R2). The relative proportion of these facies varies laterally and spiculitic chert dominates well 7228/9-1 S (4064-4014 m) whereas the basal part of the formation in well 7121/1-1 R (3502-3367 m) is dominated by silicified silty carbonate mudstone. The upper part of the formation consists of interbedded spiculite, spiculitic chert, silicified bioclastic, bryozoan-dominated limestone (wackestone to grainstone), silicified carbonate mudstone, silicified marl and calcareous claystone (e.g. 3367 to 2993 m in 7121/1-1 R, 3800 to 3671 m in 7124/3-1 and 1688 to 1569 m in 7128/4-1). The silicified limestone is best developed on the Loppa High (reference wells 7120/1-1 R2 and 7121/1-1 R) and on the eastern Finnmark Platform (7128/4-1, 7128/12-U-01 and 7129/10-U-01, (Fig 9.59). The spiculitic deposits show variable clay and dolomitic lime mud content. These rocks are mainly tight, with no apparent porosity; however, on inner parts of the Finnmark Platform white to light grey porous spiculites are present in wells 7128/4-1, 7128/6-1 and 7128/12-U-01 (Fig 9.60 , 9.61a, 9.61b) – the porosities apparently reflecting secondary solution processes.",Cores from 7128/12-U-01 and 7129/10-U-01 suggest a ?Kungurian to Kazanian – (?Tatarian) age (Mangerud 1994; Bugge et al. 1995).
SANDNES FM,FORMATION,VESTLAND GP,139,186.0,"In the type well the Sandnes Formation consists of a massive white, very fine to coarse grained glauconitic sandstone. It is firm to friable, poorly sorted and slightly silty. In other wells (e.g. 18/11-1) the formation comprises inter-bedded sandstones and shales. The shales are generally dark grey to brown, micaceous and occasionally carbonaceous.",Callovian.
SASSENDALEN GP,GROUP,,140,,The Sassendalen Group comprises clastic sediments of Early and Middle Triassic age in Svalbard and on the Barents Sea Shelf. Dominant lithologies are shales and siltstones with subordinate sandstones and minor amounts of carbonate rocks.,Early and Middle Triassic.
SAUDA FM,FORMATION,BOKNFJORD GP,141,15.0,"The lower part is mainly a dark grey claystone with some siltstone and pyrite. The upper part is more silty, commonly developed as a siltstone. Shell fragments and pyrite are common.",Middle to Late Volgian.
SELE FM,FORMATION,ROGALAND GP,142,131.0,"The Sele Formation consists of tuffaceous montmorillonite-rich shales and siltstones which are medium to dark grey or greenish-grey. They are finely laminated and carbonaceous, with minor interbeds of laminated sandstone which is frequently glauconitic.",Late Paleocene.
SHETLAND GP,GROUP,,143,,"The group consists of the chalk facies of chalky limestones, limestones, marls, and calcareous shales and mudstones. Chert (flint) occurs throughout the facies. The siliciclastic facies consists of mudstones and shales, partly interbedded with limestones. Minor amounts of sandstones are present in the lower part in the Agat Discovery area (block 35/3). The shales and sandstones are slightly to very calcareous. In the Maastrichtian sequence the quantity of limestones are generally higher on the Horda Platform than in the Viking Graben.",In the North Sea the group ranges in age from Cenomanian to Danian. The siliciclastic facies is restricted in age to the Late Cretaceous.
SKADE FM,FORMATION,HORDALAND GP,145,67.0,"The formation consists of marine sandstones with thin claystone interbeds. The sandstones are clear to light grey, usually fine to medium, occasionally coarse grained, with subrounded to rounded grains which are moderately to well sorted. Traces of fossils, shell fragments, mica and abundant glauconite occur. In some wells the sandstones are interbedded with silty claystones as illustrated by reference well 15/9-13 (Fig 5.67). The formation often interfingers with the unnamed claystones of the Hordaland Group.",Late Oligocene.
SKAGERRAK FM,FORMATION,HEGRE GP,146,61.0,"The formation consists of interbedded conglomerates, sandstones, siltstones and shales. Various shades of reds and browns are the dominant colours but light to dark grey beds are also present. Sandstones may be orthoquartzitic arkosic or highly lithic. Anhydrite, dolomite and limestone are subordinate lithologies.",Middle to Late Triassic. It may possibly extend down to the Early Triassic in the areas of maximum development.
SLEIPNER FM,FORMATION,VESTLAND GP,148,186.0,"The formation consists of a mixed sandstone and silty claystone lithology with coal measures. The sandstones are non-calcareous, light to medium brown, fine to medium grained, with occasional coarse and pebbly layers. The sandstones show a moderate to poor sorting with sub-angular to sub-rounded grains. The silty claystones are medium to dark grey or greyish brown, micromicaceous, hard and slightly fissile. Coal fragments, fossil leaves and root hairs are commonly found. The coals are mature, black and massive, often with thin laminations of silty claystone.","Usually Bajocian to Bathonian, but can locally be as young as Callovian (e.g. 15/12-1)."
SMITH BANK FM,FORMATION,HEGRE GP,149,61.0,"The formation consists of a monotonous sequence of brick red, somewhat silty, claystones with a few thin sandstone streaks and some anhydrite bands, especially in the lower part. Minor components, particularly in the Norwegian sector, are conglomerate, dark shale, marl, limestone and dolomite. In some localities sandy units may be present at the base. Over most of the eastern sector of the North Sea these sandy units are local and unconnected but south-eastward they become more continuous.",Early to possibly Late Triassic.
SNADD FM,FORMATION,STORFJORDEN SUBGP,150,212.0,"Basal grey shales coarsen up into shales with interbeds of grey siltstones and sandstones. Limestones and calcareous interbeds are relatively common in the lower and middle parts of the unit, while thin coaly lenses are developed locally further up. Distinctive dusky red-brown shales occur near the top of the unit. Lateral and vertical lithological variations may provide the basis for 2 to 4 member subdivisions or for the establishment of several formations.",A Ladinian to early Norian age is suggested. Correlations around the Ladinian/Carnian transition suggest earlier deposition of coarse elastics in central than in southern parts of the Hammerfest Basin.
SOGNEFJORD FM,FORMATION,VIKING GP,151,188.0,"The formation consists of sandstones and sands, grey-brown in colour, medium to coarse grained, well sorted and friable to unconsolidated. Locally the formation is weakly micaceous with minor argillaceous and carbonaceous beds. Bioclastic material and occasional cemented bands occur locally.",Oxfordian to Kimmeridgian/Volgian.
SOLA FM,FORMATION,CROMER KNOLL GP,152,23.0,"The Sola Formation consists of shales interbedded with stringers of marlstone and limestone. The carbonate content is lower than that in the underlying Tuxen and Åsgard formations and the overlying Rødby Formation. The colour is black or dark grey, but olive-grey, brown and red colours occur. The shales are finely laminated and often very pyritic.",The Sola Formation is of Mid Aptian-Early Albian age. A possible Middle (Late) Barremian-Albian age is recorded from Danish wells (Heilmann-Clausen 1986).
SOLDOGG FM,FORMATION,BILLEFJORDEN GP,153,11.0,"Sandstones and conglomeratic sandstones with thin beds and laminae of carbonaceous siltstones, shales and coal dominate the formation. The cored interval in well 7128/4-1 (core 4) consists of cross-bedded and laminated sandstones and siltstones with three coal beds, each less than 1 m thick (Fig 9.8 ,9.13). Coal beds occur most abundantly in the upper part of the formation in this well, but are not as abundant as in the overlying Tettegras Formation. Petrographic examination of sidewall cores and cuttings from well 7128/6-1 shows a dominance of medium- to coarse-grained quartzose sandstones similar to those observed in well 7128/4-1. Shallow core 7029/03-U-01 is dominated by fining-upward units of conglomerates and laminated and trough cross-bedded sandstones (Fig 9.14 , 9.15). Siltstones are rare in this core.","Based on palynological data, the basal Soldogg Formation is no older than the middle Viséan TC Miospore Zone in well 7128/4-1 (Geochem Group 1994). The rest of the formation in this well is assigned to the NM Miospore Zone in terms of the NW European Miospore zonation of Clayton et al. (1977). Simon-Robertson (1992) assigned the interval assigned herein to the Soldogg Formation in well 7128/6-1 to the upper part of the TC and the NM Miospore zones and a similar age range is given for the formation in 7029/03-U-01 (Bugge et al. 1995)."
SOTBAKKEN GP,GROUP,,154,,"The group is dominated by claystones, with only minor siltstone, tuffaceous and carbonate horizons.",Preserved sequences show a late Paleocene (Thanetian) to early/middle Eocene (Ypresian/ Lutetian) age in central and eastern parts of the Hammerfest Basin. Oligocene sequences may also be present in western wells.
SPEKK FM,FORMATION,VIKING GP,155,188.0,The formation consists of dark brown to dark grey shale. The shale is predominantly non-calcareous. Parts of the unit may be silty. The organic content (mainly of type II kerogen) is very high.,Oxfordian to Ryazanian.
SPRINGAR FM,FORMATION,SHETLAND GP,156,143.0,Predominantly greyish-green claystones interbedded with stringers of carbonates and sandstones.,Campanian to Maastrichtian.
STATFJORD GP,GROUP,,157,,"The group exhibits a transition from continental to shallow marine sediments. In the type well area it is a transitional ""coarsening upward"" sequence in the basal parts consisting of grey, green and sometimes red shale interbedded with thin siltstones, sandstones and dolomitic limestones. Above are massive white to grey sandstone bodies interbedded with greenish-grey to red-brown shales. The top part of the group consists of thick, white to grey, fossiliferous and glauconitic sandstones. On the Horda Platform, east of the Viking Graben, the group consists of massive, white, fine to coarse grained sandstones inter-bedded with light grey, and sometimes red, silty micaceous, lignitic shales. Towards the east the frequency of black, coaly shales and coal layers increases.",The formation ranges in age from Rhaetian to Sinemurian.
STEINKOBBE FM,FORMATION,SASSENDALEN GP,158,140.0,"The Steinkobbe Formation is dominated by phosphatic, organic-rich mudstone (TOC 1.5 – 9%), but also contains siltstone beds. The lower part of the formation contains papery, finely laminated, unbioturbated mudstone. Some bioturbation occurs higher up where it partly disturbs the lamination. Phosphate nodules are abundant, both globular and flattened, and are commonly a few centimetres in diameter, although individual nodules may reach larger diameters than the drill core (>5cm). There are also thin beds of carbonate cemented siltstone. Pyrite is abundant throughout the unit. Siltstone dominate in the middle part (7323/07-U-01 and -07), where ripples are developed locally. Flattened bivalves and ammonoids occur commonly.","Spathian – Anisian, based on ammonoids and palynology."
STØ FM,FORMATION,REALGRUNNEN SUBGP,159,128.0,"Moderately to well-sorted and mineralogically mature sandstones are dominant. Thin units of shale and siltstone are clear markers; phosphatic lag conglomerates occur in some wells, especially in upper parts of the unit.","A late Pliensbachian to Bajocian age is indicated by present data. The base is apparently diachronous, younging from west to east in the Hammerfest Basin."
SVARTE FM,FORMATION,SHETLAND GP,160,143.0,"The formation generally consists of mudstones interbedded with limestones. Sandstones occur in the Agat area. The content of limestones relative to mudstones is generally lower in the northern than in the southern part of the Viking Graben. The mudstones are medium to light grey, often calcareous, occasionally micaceous, glauconitic and pyritic. The limestones are mainly white to medium grey, argillaceous or sandy. The sandstones are clear to light grey and often cemented by calcite.",Cenomanian.
TANG FM,FORMATION,ROGALAND GP,161,131.0,Dark grey to brown claystone with minor sandstone and limestone.,Danian to late Paleocene.
TARBERT FM,FORMATION,BRENT GP,162,16.0,"In the type well section it consists of grey to brown relatively massive fine to medium grained sandstone with subordinate thin siltstone, shale and coal beds and some calcareous bands. On the Horda Platform the formation usually constitutes one or more ""coarsening upward"" sequences of fine to medium, occasionally coarse, micaceous and carbonaceous sandstones, which become increasingly silty and argillaceous downward. Stringers of calcite cemented sandstone and coal beds occur in this area.",Bajocian to Bathonian.
TARE FM,FORMATION,ROGALAND GP,163,131.0,"Dark grey, green or brown claystones with some thin sandstone stringers show a variable content of tuff.",Late Paleocene.
TAU FM,FORMATION,BOKNFJORD GP,164,15.0,"The Tau Formation consists of dark grey to black, pyritic, fissile, organic-rich slightly to non-calcareous shales.",Kimmeridgian to Early Volgian.
