field_name,description_heading,description,field_id
GINA KROG,Development ,"Gina Krog is a field on the Utsira High in the central part of the North Sea, just north of the Sleipner Vest field. The water depth is 120 metres. Gina Krog was discovered in 1978, and the plan for development and operation (PDO) was approved in 2013. The field is developed with a fixed platform with living quarters and processing facilities. Production started in 2017.",23384544
GINA KROG,Reservoir ,"Gina Krog produces oil and gas from sandstone of Middle Jurassic age in the Hugin Formation. The reservoir is complex and compartmentalised with poor to moderate quality, and lies at a depth of 3,700 metres. ",23384544
GINA KROG,Recovery ,The field is produced by gas injection. Gas is imported from Zeepipe 2A for gas injection and gas lift in the wells.,23384544
GINA KROG,Transport ,"Wet gas is exported by pipeline to the Sleipner A facility and stabilised. Sales gas is exported from Sleipner A via Gassled (Area D) to the market, while unstable condensate is exported to the Kårstø terminal. Oil is transported to a floating storage and offloading vessel (Randgrid FSO), and then offloaded to shuttle tankers for further transport.",23384544
GJØA,Development ,"Gjøa is a field in the northern part of the North Sea, 50 kilometres northeast of the Troll field. The water depth is 360 metres. Gjøa was discovered in 1989, and the plan for development and operation (PDO) was approved in 2007. The field comprises several segments. Gjøa is developed with a semi-submersible production facility and includes five 4-slot templates. The field is partly supplied with power from shore. Production started in 2010. In 2019, Gjøa was granted a PDO exemption for the redevelopment of the P1 segment, including a 4-slot template. The Vega field is tied-back to Gjøa for processing and further export. ",4467574
GJØA,Reservoir ,"The reservoirs contain gas above a relatively thin oil zone in sandstone of Jurassic age in the Dunlin, Brent and Viking Groups. The field comprises several tilted fault segments with partly uncertain communication and variable reservoir quality. The reservoir depth is 2,200 metres.",4467574
GJØA,Recovery ,"The field is produced by pressure depletion. In the southern segments, oil production was prioritised in the first years. Gas blow-down, production of the gas cap, started in 2015. Low pressure production was implemented in 2017.",4467574
GJØA,Transport ,"Stabilised oil is exported by pipeline connected to Troll Oil Pipeline II, for further transport to the Mongstad terminal. Rich gas is exported via the Far North Liquids and Associated Gas System (FLAGS) on the UK continental shelf, for further processing at the St Fergus terminal in the UK.",4467574
GLITNE,Development ,"Glitne is a field in the central part of the North Sea, 40 kilometres north of the Sleipner area. The water depth is 110 metres. Glitne was discovered in 1995, and the plan for development and operation (PDO) was approved in 2000. The field was developed with six horizontal production wells and one water injection well, tied-back to the production and storage vessel ""Petrojarl 1"". Production started in 2001. ",1272071
GLITNE,Reservoir ,"Glitne produced oil from sandstone of Paleocene age in the upper part of the Heimdal Formation. The reservoir is in a deep marine fan system at a depth of 2,150 metres. ",1272071
GLITNE,Recovery ,The field was produced with pressure support from a large natural aquifer in the Heimdal Formation. Associated gas was used for gas lift in the horizontal wells until 2012.,1272071
GLITNE,Transport ,Oil from Glitne was processed and stored on the production vessel and exported by tankers. Excess gas was injected into the Utsira Formation.,1272071
GOLIAT,Development ,"Goliat is a field in the Barents Sea, 50 kilometres southeast of the Snøhvit field. The water depth is 360-420 metres. Goliat was discovered in 2000, and the plan for development and operation (PDO) was approved in 2009. The field is developed with a cylindrical floating production, storage and offloading facility (Sevan 1000 FPSO). Eight subsea templates with a total of 32 well slots are tied-back to the FPSO. Production started in 2016. Goliat was granted a PDO exemption for the Snadd reservoir in 2017 and production started the same year.",5774394
GOLIAT,Reservoir ,"Goliat produces oil from sandstone of Triassic age in the Kobbe and Snadd Formations, and in the Kapp Toscana Group (Realgrunnen subgroup) of Triassic to Jurassic age. The reservoirs have thin gas caps and lie in a complex and segmented structure at depths of 1,100-1,800 metres.",5774394
GOLIAT,Recovery ,The field is produced using water injection as pressure support. Additional pressure support results from reinjection of produced gas.,5774394
GOLIAT,Transport ,The oil is offloaded to shuttle tankers for transport to the market. Future gas export is pending an export solution. ,5774394
GRANE,Development ,"Grane is a field in the central part of the North Sea, just east of the Balder field. The water depth is 130 metres. Grane was discovered in 1991, and the plan for development and operation (PDO) was approved in 2000. The field has been developed with an integrated accommodation, drilling and processing facility with a steel jacket. The facility has 40 well slots. Production started in 2003. The Svalin field is tied-back to Grane platform.",1035937
GRANE,Reservoir ,"Grane produces oil with high viscosity mostly from Paleocene sandstone in the Heimdal Formation with very good reservoir properties. The field comprises a main structure and some additional segments with full communication. The reservoir depth is 1,700 metres.",1035937
GRANE,Recovery ,"The field is produced by gas injection at the top of the structure, and horizontal production wells at the bottom of the oil zone. In 2010, Grane terminated gas import from the Heimdal gas centre, and only produced gas was reinjected into the reservoir. Gas import started up again in 2014. Grane has limited water injection. Oil recovery is maintained by gas injection and drilling of new wells, including sidetracks from existing producers.",1035937
GRANE                                   ,Transport ,Oil from Grane is transported by pipeline to the Sture terminal for storage and export.,1035937
GUDRUN,Transport ,"Wet gas and oil are transported in separate pipelines to the Sleipner A facility. Sales gas is transported from Sleipner A via Gassled (Area D) to the market, while oil is transported to the Kårstø terminal.",18116481
GUDRUN,Recovery ,The field is produced by pressure depletion.,18116481
GUDRUN,Reservoir ,"Gudrun produces oil from sandstone in the Upper Jurassic Draupne Formation and gas from the Middle Jurassic Hugin Formation. The reservoirs are complex, and uncertainties are associated with sand distribution and connectivity, especially for the Draupne Formation. The reservoirs lie at a depth of 4,000-4,700 metres and have moderate quality.  ",18116481
GUDRUN,Development ,"Gudrun is a field in the central part of the North Sea, 50 kilometres north of the Sleipner field. The water depth is 110 metres. Gudrun was discovered in 1975, and the plan for development and operation (PDO) was approved in 2010. A PDO exemption for the discovery 15/3-9 was granted in 2013. The field is developed with a steel jacket and a topside first-stage process facility and living quarters. The field is tied-back to the Sleipner A facility with two pipelines, one for oil and one for wet gas. Production started in 2014.",18116481
GULLFAKS,Development ,"Gullfaks is a field in the Tampen area in the northern part of the North Sea. The water depth is 130-220 metres. Gullfaks was discovered in 1978, and the plan for development and operation (PDO) for Gullfaks Phase I was approved in 1981. A PDO for Gullfaks Phase II was approved in 1985. Production started in 1986. The field has been developed with three integrated processing, drilling and accommodation facilities with concrete bases (Gullfaks A, B and C). Gullfaks B has a simplified processing plant with first stage separation. Gullfaks A and C receive and process oil and gas from Gullfaks Sør and Visund Sør. The Gullfaks facilities are also involved in production and transport from the Tordis, Vigdis and Visund fields. Production from Tordis is processed in a separate facility on Gullfaks C. PDO for Gullfaks Vest was approved in 1993, and for recovery from the Lunde Formation in 1995. An amended PDO for the Gullfaks field, covering prospects and small discoveries, which could be drilled and produced from existing facilities, was approved in 2005. Amendments to the Gullfaks PDO, covering Phase I and Phase II production from the Shetland/Lista deposit, were approved in 2015 and 2019, respectively. In 2020, an amended PDO for the development of the Hywind Tampen wind farm was approved. The wind farm will consist of 11 floating turbines which will supply electricity to the Snorre and Gullfaks fields. The Snorre and Gullfaks platforms will be the first platforms in the world to receive power from a floating wind farm.",43686
GULLFAKS,Reservoir ,"Gullfaks produces oil from Middle Jurassic sandstone in the Brent Group, and from Lower Jurassic and Upper Triassic sandstone in the Statfjord Group and Cook and Lunde Formations. Recoverable oil is also present in fractured carbonate and shale in the overlying Shetland Group and Lista Formation. The reservoirs lie at a depth of 1,700-2,000 metres in rotated fault blocks in the west and a structural horst (raised fault block) in the east, with a highly faulted area in between. Reservoir quality is generally good to very good in the Jurassic reservoirs within each fault compartment, but poor reservoir communication is a challenge for pressure maintenance.",43686
GULLFAKS,Recovery ,"The drive mechanism for the main reservoirs is primarily water injection, with gas injection and water alternating gas injection (WAG) in some areas. Initially, the drainage strategy for the Shetland/Lista reservoir was depletion, but pressure support by water injection has now been implemented.",43686
GULLFAKS,Transport ,Oil is exported from Gullfaks A and Gullfaks C via loading buoys onto tankers. Rich gas is transported by Statpipe for further processing at the Kårstø terminal.,43686
GULLFAKS SØR,Development ,"Gullfaks Sør is a field in the northern part of the North Sea, just south of the Gullfaks field. The water depth is 130-220 metres. Gullfaks Sør was discovered in 1978, but comprises several discoveries made in later years. The Gullfaks Sør deposits have been developed with a total of 13 subsea templates tied-back to the Gullfaks A and Gullfaks C facilities. The initial plan for development and operation (PDO) for Gullfaks Sør Phase I was approved in 1996 and included production of oil and condensate from the Gullfaks Sør, Rimfaks and Gullveig deposits. Production started in 1998. The PDO for Phase II was approved in 1998 and included production of gas from the Brent Group in the Gullfaks Sør deposit. In 2004, the Gulltopp discovery was included in Gullfaks Sør. Gulltopp is produced through an extended reach production well from the Gullfaks A facility. A PDO for the Skinfaks discovery and Rimfaks IOR was approved in 2005. An amended PDO for the redevelopment of Gullfaks Sør Statfjord Formation with two new subsea templates was approved in 2012. A PDO for Gullfaks Rimfaksdalen, which includes the Rutil and Opal deposits[HT1] , was approved in 2015. It consists of a new subsea template and four production wells. Since 2017, gas production is increased by two subsea wet gas compressors, tied-back to the Gullfaks C platform. A PDO exemption for some prospects and small discoveries, which can be drilled and produced from existing Gullfaks Sør facilities, was granted in 2018. A PDO exemption for the Opal Sør deposit was granted in 2019.",43699
GULLFAKS SØR,Reservoir ,"The Gullfaks Sør deposits produce oil and gas from Middle Jurassic sandstone in the Brent Group and from Lower Jurassic and Upper Triassic sandstone in the Statfjord Group and Cook and Lunde Formations. The reservoirs lie at a depth of 2,400-3,400 metres in several rotated fault blocks. The reservoirs in the Gullfaks Sør deposit are heavily segmented, with many internal faults and challenging flow characteristics, especially in the Statfjord Group and Lunde Formation. The other deposits in the Gullfaks Sør area have generally good reservoir quality. ",43699
GULLFAKS SØR,Recovery ,"The Brent reservoir in Gullfaks Sør is produced by pressure depletion after gas injection ceased in 2009. The Statfjord Group and Lunde Formation in Gullfaks Sør are produced with pressure support from gas injection. Gas export from Rimfaks started in 2015, but limited gas injection was maintained in the Brent Group until 2018. The Gullveig, Gulltopp and Rutil deposits are produced by pressure depletion and partial aquifer drive. The Skinfaks deposit is currently not in production. The Rutil, Opal and Opal Sør deposits are produced by pressure depletion.",43699
GULLFAKS SØR,Transport ,"The oil is transported to the Gullfaks A facility for processing, storage and further transport by tankers. Rich gas is processed on Gullfaks C and exported through Statpipe to the Kårstø-terminal.",43699
GUNGNE,Development ,"Gungne is a field in the Sleipner area in the central part of the North Sea. The water depth is 85 metres. Gungne was discovered in 1982, and the plan for development and operation (PDO) was approved in 1995. The field has been developed by three wells drilled from the Sleipner A installation, and production started in 1996. A PDO exemption was granted for the Skagerrak and Hod Formations in 2000, and for a well to Gammahøyden in 2007.",43464
GUNGNE,Reservoir ,"Gungne produces gas from Triassic sandstone in the Skagerrak Formation. The field additionally produces considerable amounts of condensate. The reservoir lies at a depth of 2,800 metres. The reservoir quality is generally good, but the reservoir is segmented, and lateral shale layers act as internal barriers. ",43464
GUNGNE,Recovery ,The field is produced by pressure depletion. ,43464
GUNGNE,Transport ,The well stream from Gungne is processed at the Sleipner A facility. Sales gas is exported from Sleipner A via Gassled (Area D) to the market. Unstable condensate is transported in a pipeline to the Kårstø terminal. ,43464
GYDA,Development ,"Gyda is a field in the southern part of the Norwegian sector in the North Sea, between the Ula and Ekofisk fields. The water depth is 65 metres. Gyda was discovered in 1980, and the plan for development and operation (PDO) was approved in 1987. The field was developed with a combined drilling, accommodation and processing facility with a steel jacket. Production started in 1990. A PDO for Gyda Sør was approved in 1993.",43492
GYDA,Reservoir ,"Gyda produced oil from three reservoirs in Upper Jurassic sandstone in the Ula Formation. The reservoir depth is 4,000 metres.",43492
GYDA,Recovery ,"The field was produced by water injection, as well as by pressure support from both gas cap and aquifer in parts of the field.",43492
GYDA,Transport ,"The oil was transported to the Ekofisk field via the oil pipeline from Ula, and further via Norpipe to Teesside in the UK. The gas was transported in a dedicated pipeline to Ekofisk for further transport via Norpipe to Emden in Germany. Gas export ceased in 2016.",43492
HANZ,Development ,"Hanz is a field in the North Sea, 12 kilometres north of the Ivar Aasen field. The water depth is 115 metres. Hanz was discovered in 1997 and the plan for development and operation (PDO) was approved in 2013. The field will be developed with subsea templates tied-back to Ivar Aasen.",25307278
HANZ,Reservoir ,"The reservoir contains oil with a minor gas cap. It is in the Draupne Formation of Late Jurassic age at a depth of 2,350 metres. The reservoir is in presumably shallow marine sandstone with good properties. ",25307278
HANZ,Recovery ,The field will be produced by pressure support from water injection.,25307278
HANZ,Transport ,"After initial processing on the Ivar Aasen field, the well stream will be transported to the Edvard Grieg field for final processing and export.",25307278
HEIDRUN,Development ,"Heidrun is a field on Haltenbanken in the Norwegian Sea, 30 kilometres northeast of the Åsgard field. The water depth is 350 metres. Heidrun was discovered in 1985, and the plan for development and operation (PDO) was approved in 1991. The field has been developed with the world&#146s first ever floating concrete tension-leg platform (TLP), installed over a large subsea template with 56 well slots. Six subsea templates in the southern and northern areas are additionally tied-back to the TLP. Production started in 1995. The PDO for the Heidrun northern flank was approved in 2000. The Maria field receives water for injection from Heidrun. The Dvalin field has a dedicated gas processing plant on the Heidrun platform.",43771
HEIDRUN,Reservoir ,"Heidrun produces oil and gas from Lower and Middle Jurassic sandstone in the Åre, Tilje, Ile and Garn Formations. The reservoir lies at a depth of 2,300 metres and is heavily faulted and segmented. The Ile and Garn Formations have good reservoir quality, while the Åre and Tilje Formations are more complex.",43771
HEIDRUN,Recovery ,"The field is produced with pressure maintenance using water and gas injection in the Ile and Garn Formations. In the more complex parts of the reservoir, in the Åre and Tilje Formations, the main recovery strategy is water injection. Some segments are also produced by pressure depletion.",43771
HEIDRUN,Transport ,The oil is loaded onto tankers and shipped to either the Mongstad terminal or to Tetney in the UK. The gas is transported by pipeline to the terminal at Tjeldbergodden and/or via the Åsgard Transport System (ÅTS) to the Kårstø terminal.,43771
HEIMDAL,Development ,"Heimdal is a field in the central part of the North Sea. The water depth is 120 metres. Heimdal was discovered in 1972, and the plan for development and operation (PDO) was approved in 1981. The field was developed with an integrated drilling, production and accommodation facility with a steel jacket (HMP1). Production started in 1985. The PDO for Heimdal Jurassic was approved in 1992. The PDO for the Heimdal Gas Centre was approved in 1999, and included a new riser facility, connected by a bridge to HMP1. Heimdal is now mainly a processing centre for other fields, presently Atla, Skirne, Vale and Valemon, and for Huldra until production ceased in 2014. The Huldra pipeline to Heimdal is now used for transport of rich gas from Valemon. Heimdal also serves as a hub for rich gas transported from Oseberg to continental Europe via the Draupner platforms.",43590
HEIMDAL,Reservoir ,"Heimdal produced gas and some condensate from sandstone of Paleocene age in the Heimdal Formation. The reservoir lies in a massive turbidite system at a depth of 2,100 metres and has good quality.",43590
HEIMDAL,Recovery ,The field was produced by pressure depletion.,43590
HEIMDAL,Transport ,"Originally, gas from Heimdal was transported in Statpipe via the Draupner and Ekofisk fields to continental Europe. When the Heimdal Gas Centre was established, a new gas pipeline was connected to the existing gas pipeline from the Frigg field to St Fergus in the UK. Gas can now also be transported via Vesterled to St Fergus. A gas pipeline was laid from Heimdal to the Grane field for gas injection at Grane. Condensate is transported by pipeline to the Brae field in the UK sector and further to Cruden Bay in the UK.",43590
HOD,Recovery ,The field is produced by pressure depletion. Gas lift has been used in some wells to increase production.,43485
HOD,Transport ,Oil and gas are transported in a shared pipeline to the Valhall field for further processing. Transport of oil and NGL from Valhall is routed via pipeline to the Ekofisk Centre and further to Teesside in the UK. Gas from Valhall is sent via Norpipe to Emden in Germany.,43485
HOD,Development ,"Hod is a field in the southern part of the Norwegian sector in the North Sea, about 13 kilometres south of the Valhall field. The water depth is 72 metres. Hod was discovered in 1974, and the plan for development and operation (PDO) was approved in 1988. The field was developed with an unmanned wellhead platform, remotely controlled from Valhall. Production started in 1990. A PDO for Hod Saddle was approved in 1994. A PDO for the redevelopment of Hod was approved in December 2020.  ",43485
HOD,Reservoir ,"Hod produces oil from chalk in the Upper Cretaceous Tor and Hod Formations and the lower Paleocene Ekofisk Formation. The Tor Formation chalk is fine-grained and soft. Considerable fracturing allows oil and water to flow more easily than in the underlying Hod Formation. The reservoir depth is 2,700 metres. The field consists of three structures: Hod West, Hod East and Hod Saddle.",43485
HULDRA,Development ,"Huldra is a field in the northern part of the North Sea, 16 kilometres west of the Veslefrikk field. The water depth is 125 metres. Huldra was discovered in 1982, and the plan for development and operation (PDO) was approved in 1999. The field was developed with a wellhead facility, including a simple process facility, and remotely operated from Veslefrikk B. Production started in 2001.",97002
HULDRA,Reservoir ,"Huldra produced gas and condensate from sandstone of Middle Jurassic age in the Brent Group. The reservoir is in a rotated fault block at a depth of 3,500-3,900 metres, and initially had high pressure and high temperature (HPHT). There are many small faults in the field and two main segments without pressure communication.",97002
HULDRA,Recovery ,The field was produced by pressure depletion and with low pressure production after 2007.,97002
HULDRA,Transport ,The wet gas was transported to the Heimdal field and the condensate to Veslefrikk for processing and export. The Huldrapipe to Heimdal is now being used by the Valemon field.,97002
HYME,Development ,"Hyme is a field in the southern part of the Norwegian Sea, 19 kilometres northeast of the Njord field. The water depth is 250 metres. Hyme was discovered in 2009, and the plan for development and operation (PDO) was approved in 2011. The field is developed with a subsea template including one production well and one water injection well. Hyme is connected to the Njord A facility. Production started in 2013.",20474183
HYME,Reservoir ,"Hyme produces oil and gas from sandstone of Early and Middle Jurassic age in the Tilje and Ile Formations. The reservoir lies at a depth of 2,150 metres and has good quality. ",20474183
HYME,Recovery ,The field is produced with pressure support from seawater injection. The production well is equipped with gas lift.,20474183
HYME,Transport ,The well stream is transported to the Njord field and processed on the Njord A platform. The Njord facilities are used for both oil and gas export.,20474183
ISLAY,Development ,"Islay is a field on the boundary to the UK sector in the northern part of the North Sea, 55 kilometres west of the Oseberg field. The Norwegian share of the field is 5.51 per cent. The water depth is 120 metres. Islay was discovered in 2008, and production started in 2012. The field is developed with one well tied to the Forvie manifold in the UK sector.",21105675
ISLAY,Reservoir ,"Islay produces gas from Middle Jurassic sandstone in the Brent Formation. The reservoir depth is 3,700-3,900 metres.",21105675
ISLAY,Recovery ,The field is produced by pressure depletion.,21105675
ISLAY,Transport ,"Production is routed via the Forvie-Alwyn pipeline to the British Alwyn field for separation. The gas is exported via the Frigg UK Pipeline (FUKA) to the Shell-Esso Gas and Liquids (SEGAL) terminal at St Fergus in the UK, whereas the liquids are exported to the Sullom Voe terminal in the Shetland Islands.",21105675
IVAR AASEN,Development ,"Ivar Aasen is a field in the northern part of the North Sea, 30 kilometres south of the Grane and Balder fields. The water depth is 110 metres. Ivar Aasen was discovered in 2008, and the plan for development and operation (PDO) was approved in 2013. The development comprises a production, drilling and quarters (PDQ) platform with a steel jacket and a separate jack-up rig for drilling and completion. Production started in 2016. The platform is equipped for tie-in of a subsea template planned for the development of the Hanz field, and for possible development of other nearby discoveries. First stage processing is carried out on the Ivar Aasen platform, and the partly processed fluids are transported to the Edvard Grieg platform for final processing and export.",23384520
IVAR AASEN,Reservoir ,"Ivar Aasen produces oil from sandstone reservoirs. The field consists of the 16/1-9 Ivar Aasen discovery and the small 16/1-7 (West Cable) discovery. The reservoir in the Ivar Aasen discovery consists of fluvial sandstone of Late Triassic to Middle Jurassic age in the Skagerrak and Sleipner Formations and shallow marine sandstone in the Middle Jurassic Hugin Formation. The reservoir lies at a depth of 2,400 metres. It is compartmentalised and has moderate to good quality. Parts of the reservoir have an overlying gas cap. The reservoir in the West Cable discovery is in fluvial sandstone in the Middle Jurassic Sleipner Formation. It lies at a depth of 2,950 metres and has moderate quality.",23384520
IVAR AASEN,Recovery ,The Ivar Aasen reservoir is produced by pressure support from water injection. The West Cable reservoir is produced by pressure depletion.,23384520
IVAR AASEN,Transport ,"Oil and gas are transported to the Edvard Grieg platform for final processing. The oil is exported by pipeline to the Grane Oil Pipeline, which is connected to the Sture terminal. The gas is exported in a separate pipeline to the Scottish Area Gas Evacuation (SAGE) system in the UK. ",23384520
JETTE,Development ,"Jette is a field in the central part of the North Sea, six kilometres south of the Jotun field. The water depth is 127 metres. Jette was discovered in 2009, and the plan for development and operation (PDO) was approved in 2012. The field was developed with a subsea template with two production wells tied-in to the Jotun A facility. Production started in 2013. ",21613906
JETTE,Reservoir ,"Jette produced oil from sandstone of late Paleocene age in the Heimdal Formation. The reservoir is in a marine fan system at a depth of 2,200 metres.",21613906
JETTE,Recovery ,The field was produced with natural pressure support from the aquifer.,21613906
JETTE,Transport ,The well stream was transported to Jotun B and further to Jotun A for processing and loading.,21613906
JOHAN CASTBERG,Development ,"Johan Castberg is a field in the Barents Sea, 100 kilometres northwest of the Snøhvit field. The water depth is 370 metres. Johan Castberg consists of the three discoveries Skrugard, Havis and Drivis, proven between 2011 and 2013. The discoveries will be developed together, and the plan for development and operation (PDO) was approved in June 2018. The development concept is a production, storage and offloading vessel (FPSO) with additional subsea solutions including 18 horizontal production wells and 12 injection wells. ",32017325
JOHAN CASTBERG,Reservoir ,"The reservoirs contain oil with gas caps in three separate sandstone deposits from Late Triassic to Middle Jurassic age in the Tubåen, Nordmela and Stø Formations. The reservoirs lie at depths of 1,350 to 1,900 metres. Reservoir properties in the Tubåen and Stø Formations are generally good; the Nordmela Formation is more heterogeneous with several lateral barriers.",32017325
JOHAN CASTBERG,Recovery strategy ,The field will be produced by pressure support from gas and water injection.  ,32017325
JOHAN CASTBERG,Transport ,The oil will be offloaded to shuttle tankers and transported to the market.  ,32017325
JOHAN SVERDRUP,Development ,"Johan Sverdrup is a field on the Utsira High in the central part of the North Sea, 65 kilometres northeast of the Sleipner fields. The water depth is 115 metres. Johan Sverdrup was discovered in 2010 and the plan for development and operation (PDO) for Phase I was approved in 2015. The development solution for the first development phase is a field centre with four specialised platforms: living quarters, process, drilling and riser facilities. The four platforms are connected by bridges. The drilling platform has 48 well slots and is prepared for simultaneous drilling, well intervention and production. The field will be operated with power from shore throughout its lifetime. In 2019, production from Phase I started and the PDO for Phase II was approved. The development solution for the second phase comprises a process platform and five subsea templates. Modification work will in addition be performed on the riser platform.",26376286
JOHAN SVERDRUP,Reservoir ,"The main reservoir contains oil in Upper Jurassic intra-Draupne sandstone and lies at a depth of 1,900 metres. The quality of the main reservoir is excellent with very high permeability. The remaining oil resources are in sandstone in the Upper Triassic Statfjord Group and Middle to Upper Jurassic Vestland Group, as well as in spiculites in the Upper Jurassic Viking Group. Oil was also proven in Permian Zechstein carbonates.",26376286
JOHAN SVERDRUP,Recovery ,"The field is produced by water injection as pressure support, as well as gas lift in the production wells. In the first development phase, production wells are placed centrally, high up in the thickest parts of the reservoirs. The water injection wells are placed near the oil-water contact. The distance between the production and injection wells is typically between four and five kilometres. In the second development phase, production and injection wells will be placed in the less central parts of the field.",26376286
JOHAN SVERDRUP,Transport ,Stabilised oil is exported from the riser platform through a new oil export pipeline that is connected to existing underground storage caverns at the Mongstad terminal. The gas is exported from the riser platform to the Kårstø terminal through a new pipeline connected to Statpipe.,26376286
JOTUN,Development ,"Jotun is a field in the central part of the North Sea, 25 kilometres north of the Balder field. The water depth is 125 metres. Jotun was discovered in 1994, and the plan for development and operation (PDO) was approved in 1997. The field was developed with Jotun A, a combined production, storage and offloading vessel (FPSO), and Jotun B, a wellhead facility. Jotun is integrated with the Balder field. Production started in 1999.",43604
JOTUN,Reservoir ,"Jotun produced oil from sandstone of Paleocene age in the Heimdal Formation. The reservoir lies at 2,000 metres depth in a marine fan system and comprises three structures.",43604
JOTUN,Recovery ,The field was produced by pressure support from the aquifer and with gas lift. Produced water was injected into the Utsira Formation.,43604
JOTUN,Transport ,"The Jotun FPSO is an integrated part of the Balder and Ringhorne facilities and is still in operation. It receives oil and gas from Ringhorne, and excess gas from Balder. Jotun processes and exports rich gas via Statpipe to Kårstø. The oil is exported via the production vessel at Jotun to tankers on the field. ",43604
KNARR,Development ,"Knarr is a field in the northern part of the North Sea, 50 kilometres northeast of the Snorre field. The water depth is 400 metres. Knarr was discovered in 2008, and the plan for development and operation (PDO) was approved in 2011. The Knarr field consists of two segments, Knarr West and Knarr Central. The development comprises a floating production, storage and offloading vessel (FPSO) and two subsea templates, including six production and injection wells. Production started in 2015.",20460988
KNARR,Reservoir ,"Knarr produces oil from Lower Jurassic sandstone in the Cook Formation. The reservoirs lie at a depth of 3,800 metres and have moderate to good quality.",20460988
KNARR,Recovery ,The field is produced with water injection for pressure maintenance.,20460988
KNARR,Transport ,Oil is processed and stored on the Knarr FPSO and offloaded to shuttle tankers for export. Gas is exported via the Far North Liquids and Associated Gas System (FLAGS) to St Fergus in the UK.,20460988
KRISTIN,Development ,"Kristin is a field in the Norwegian Sea, a few kilometres southwest of the Åsgard field. The water depth is 370 metres. Kristin was discovered in 1997, and the plan for development and operation (PDO) was approved in 2001. The field is developed with four 4-slot subsea templates tied-back to a semi-submersible facility for processing. Production started in 2005. An amended PDO was approved in 2007. The Tyrihans and Maria fields are tied to the Kristin facility.",1854729
KRISTIN,Reservoir ,"Kristin produces gas and condensate from Jurassic sandstone in the Garn, Ile and Tofte Formations. The reservoirs lie at a depth of 4,600 metres and have high pressure and high temperature (HPHT). The reservoir quality is generally good, but low permeability in the Garn Formation and flow barriers in the Ile and Tofte Formations contribute to a rapid decline in reservoir pressure.",1854729
KRISTIN,Recovery ,The field is produced by pressure depletion. Low pressure production from the reservoir was implemented in 2014.,1854729
KRISTIN,Transport ,The well stream is processed at Kristin and the gas is transported via the Åsgard Transport System (ÅTS) to the Kårstø terminal. Light oil is transferred to the Åsgard C facility for storage and export. Condensate from Kristin is sold as oil.,1854729
KVITEBJØRN,Development ,"Kvitebjørn is a field in the Tampen area in the northern part of the North Sea, 15 kilometres southeast of the Gullfaks field. The water depth is 190 metres. Kvitebjørn was discovered in 1994, and the plan for development and operations (PDO) was approved in 2000. The field is developed with an integrated accommodation, drilling and processing facility with a steel jacket. Production started in 2004. An amended PDO including several deposits and prospects was approved in 2006.",1036101
KVITEBJØRN,Reservoir ,"Kvitebjørn produces gas and condensate from Middle Jurassic sandstone in the Brent Group. Secondary reservoirs are in the Lower Jurassic Cook Formation and Upper Triassic Statfjord Group. The reservoirs lie at a depth of 4,000 metres and initially had high pressure and high temperature (HPHT). The reservoir quality is good.",1036101
KVITEBJØRN,Recovery ,The field is produced by pressure depletion. Gas pre-compression started in 2014 and has increased the gas recovery from the field.,1036101
KVITEBJØRN,Transport ,"Rich gas is transported through the Kvitebjørn Gas Pipeline to the Kollsnes terminal, while condensate is transported in a pipeline tied to the Troll Oil Pipeline II and further to the Mongstad terminal.",1036101
LILLE-FRIGG,Development ,"Lille-Frigg is a field in the central part of the North Sea, 16 kilometres east of the Frigg field. The water depth is 110 metres. Lille-Frigg was discovered in 1975, and the plan for development and operation (PDO) was approved in 1991. The field was developed with a subsea installation with three production wells tied-back to the Frigg field. Production started in 1994. ",43583
LILLE-FRIGG,Reservoir ,"The Lille-Frigg field produced gas and condensate from sandstone of Jurassic age in the Brent Group. The reservoir lies at a depth of 3,650 metres.",43583
LILLE-FRIGG,Recovery ,The field was produced by pressure depletion.,43583
LILLE-FRIGG,Transport ,The well stream was transported directly to the Frigg field for processing. The gas was transported via pipeline to St Fergus in the UK. Stabilised condensate was transported via Frostpipe to the Oseberg field and onward to the Sture terminal.,43583
MARIA,Development ,"Maria is a field on Haltenbanken in the Norwegian Sea, 25 kilometres east of the Kristin field. The water depth is 300 metres. Maria was discovered in 2010, and the plan for development and production (PDO) was approved in 2015. The field is developed as a subsea tie-back with two templates. There are five producers and two water injectors on the field. Gas for gas lift is supplied from the Åsgard B facility via the Tyrihans D template. Sulphate-reduced water for injection is supplied from Heidrun. Production started in 2017.",26465170
MARIA,Reservoir ,"Maria produces oil and gas from the Middle Jurassic Garn Formation. The formation is 90-100 metres thick and consists of massive sandstone with shale layers. The reservoir quality is best in the southern part of the deposit. The underlying Tilje and Ile Formations are aquiferous. The reservoir lies at a depth of 3,800 metres. ",26465170
MARIA,Recovery ,The field is produced by water injection for pressure support. The wells are equipped with gas lift.,26465170
MARIA,Transport ,"The well stream is routed to the Kristin platform for processing and further export together with the gas and oil from the Kristin and Tyrihans fields. Stabilised oil is transported from Kristin to Åsgard C and further offloaded to shuttle tankers. The rich gas is sent via the Åsgard Transport System (ÅTS) to the Kårstø terminal, where NGL and condensate is extracted.",26465170
