unit,NPDIDunit,Level,parentunit,country,lithology,period
Oseberg Formation,oseberg formation,FORMATION,brent group,United Kingdom,"The name Oseberg Formation should be used for the relatively homogeneous, predominantly coarse-grained sandstone unit, 20-60 m thick, that is well documented from the base of the Brent Group in the Oseberg Field and neighbouring fields. The sandstone unit now defined as the Oseberg Formation has long been considered anomalous in the sense that it does not fit well into the “normal” Brent Group succession as is seen, for example, in well 34/10-8. The basal unit`s (now Oseberg Formation) anomalous coarseness an homogeneity, its common, sharply defined base and “blocky” log pattern, and the indications of a Late Toarcian/Aalenian age for its lowermost parts in some wells have always been awkward aspects of Brent Group lithostratigraphy where the sand unit was interpreted as Etive Formation or as a combined Rannoch/ Etive Formation.^The Oseberg Formation has a typical “blocky” log motif (gamma-ray and neutron/density logs), reflecting the homogeneous nature of the sand units compared to the underlying and intercalating mudstones. Occasional upwards-coarsening motifs occur in structurally high locations.^Five types of lithofacies sequences are identified within the formation: ",Late Toarcian – Early Bajocian. 
Polarrev Formation,polarrev formation,FORMATION,bjarmeland group,Norway,"The formation consists of a variety of facies that characterise carbonate buildups. The bulk of the formation consists of bryozoan- and bryozoan/Tubiphytes-dominated wackestones and cementstones with abundant early marine cement (Fig 9.44). Wackestones dominate the bioherm encountered in the type well, where a sparse assemblage of fenestrate bryozoans, brachiopods and crinoids formed a loose framework that trapped the carbonate mud. The wackestones also display Stromatactis-like cavities, which form a complex interconnected pore system. The cavities are often partly supported by fenestrate bryozoans and brachiopods, and are often filled by geopetal internal sediments with a grainstone or packstone fabric. The geopetal fabrics indicate that deposition occurred on primary slopes of up to 45o (Blendinger et al. 1997). The limestone is massive to thickly bedded, white to light grey, locally pinkish grey and light brownish grey in colour. In the lower part of the formation more thin bedded and silty limestones are locally present. The formation has a characteristic (very) low gamma ray response throughout, except for the thin units of silty limestones in the lower part (Fig 9.39). ","Fusulinids suggest a mid-Sakmarian age for the basal part of the formation in wells 7229/11-1 and 7121/1-1 R and a late Sakmarian age near the top of the formation in the same wells (Davydov 1998, Davydov 2000). Comparisons with overlying units suggest that the formational top is of ?earliest Artinskian age. "
Ran sandstone units,ran sandstone units,FORMATION,tempelfjorden group,Norway,"The colour of the sandstones ranges from white to light grey, green and brown to reddish-brown. The sandstones are generally argillaceous, sometimes calcareous and glauconitic, and usually do not represent potential reservoir rocks in these wells. ",Ryazanian-Albian. 
Rannoch Formation,rannoch formation,FORMATION,tempelfjorden group,Norway,"In the type well the formation is a light brown, fine grained, well sorted, friable, very micaceous sandstone. In the Brent Field area the lower part is more argillaceous with siltstones and thin shales.^Towards the top the formation tends to be coarser grained and less micaceous, often resulting in a distinctive gamma ray pattern suggesting a ""coarsening upward"" sequence. Some workers consider that the Rannoch Formation is occasionally represented on the Horda Platform by one or more such coarsening upward cycles. However, in the majority of cases these cannot be observed and the presence of the Rannoch Formation must be considered debatable. ",Late Toarcian to Bajocian. 
Rattray Formation,rattray formation,FORMATION,tempelfjorden group,Norway,"In the type section and adjacent wells (BP 21/9-1 and Shell/Esso 22/6-1), the formation consists of a thick series of basaltic lava flows (1 to 9 m thick where cored), with interbedded agglomerates, tuffs and tuffaceous sediments. The lavas are grey or purplish, vesicular and often partially altered, and locally completely laterised. Large fresh pyroxene phenocrysts and smaller altered olivine phenocrysts are set in a groundmass of pyroxene and feldspar. Autobrecciation, late hydrothermal activity and deep weathering and oxidation are fairly common. The epiclastics, ranging from agglomerate to tuffs, comprise lava and phenocryst clasts, or primary pumice and ? lapilli fragments. Only minor pyroclastics have been recognised. Interbedded sediments are present towards the base of the type section, consisting of dominantly red to brown mudstone, which is soft to firm and locally calcareous. Minor amounts of red-brown or grey-green siltstone and fine grained, friable, brown sandstone are present. Lateral lithological and petrographical variations have been described by Howitt and others (1975). ","Present evidence indicates a Middle Jurassic age (Bajocian–Bathonian). In the southern part of the volcanic province the interbedded red-beds are barren, but sparsely fossiliferous grey beds in the north near the base and top of the formation yield Bajocian–Bathonian dates, based on floral dating and rare ostracods. Radiometric dating of whole-rock samples which are sheared, altered and often with secondary mineralization has provided a range of minimum ages from 165+/- 4 Ma (million years) to 109+/- 2 Ma. No systematic change in age has been recognized and the volcanic are assumed to be essentially the product of one synchronous episode. "
Raude Formation,raude formation,FORMATION,tempelfjorden group,Norway,"In the type well the basal part of the formation consists of a coarsening upward sequence of grey, green, and red-brown silty claystones, grey arkosic sandstones and white, pink and grey-brown dolomitic limestones. This basal part of the section is often difficult to recognise away from the type well and is locally absent. Above 2905 m in the type well the formation consists of approximately equal amounts of sandstone and silty shale. These sandstones are fine to medium grained and poor to moderately sorted with subangular grains. They are generally micaceous and have a kaolinitic matrix. The silty shales are grey and light green or occasionally red-brown in colour, and micromicaceous. Carbonaceous debris, sometimes in thin laminae, is present but distinct lignite beds are absent. Away from the type well the sandstone percentage in the upper part of the formation may vary from about 15 to about 75. In the area of the Brent and Statfjord fields the average sandstone bed thickness is about 2.5 m and shale beds average about 4 m in thickness. Correlation of individual beds from well to well is virtually impossible.^In well 33/12-5 the Raude Formation consists of alternating, 5 to 10 m-thick, red claystones and sandstones, except for the lowermost 25 m of claystone, while in well 30/6-5 a similar pattern as in the type well is observed. ",Rhaetian. The top of the formation may approximate to the Rhaetian – Lower Jurassic boundary in the type well but is probably older to the west (Fig 1.18). 
Reke Member,reke member,FORMATION,tempelfjorden group,Norway,Sandstone. ,Norian - ?Rhaetian (based on palynology). 
Rogaland Group,rogaland group,FORMATION,tempelfjorden group,Norway,"Dominant lithologies in the west are sandstones interbedded with shales. These sandstones form lobes which passes laterally into shales eastwards, and in most of the Norwegian sector the Rogaland Group consists of argillaceous marine sediments. The basal deposits frequently contain reworked limestones and marls. Towards the top of the group the shales become increasingly tuffaceous.^On Haltenbanken the group consists of claystone with minor local siltstone. Tuff is common in the upper part. ",Paleocene - Early Eocene (North Sea).^Danian to Late Paleocene (Norwegian Sea). 
Rogn Formation,rogn formation,FORMATION,tempelfjorden group,Norway,The formation shows a coarsening upward sequence from siltstones and shales to sandstones which constitute the bulk of the unit. ,Oxfordian to Kimmeridgian. 
Ror Formation,ror formation,FORMATION,tempelfjorden group,Norway,"Dominant grey to dark grey mudstones contain interbedded silty and sandy coarsening upwards sequences, commonly a few metres thick. Such sequences become more frequent towards the top of the formation, giving the unit an overall coarsening upwards trend over most of Haltenbanken. ",Pliensbachian to Toarcian. 
Rotliegend Group,rotliegend group,SUB-GROUP,tempelfjorden group,Norway,"Silicified sediments dominate the Røye Formation as the result of early silicification processes that were sourced by abundant silica sponge spicules. On the eastern Finnmark Platform, the lower part of the Røye Formation consists of dark grey to black, silicified calcareous claystone with minor pyrite and traces of organic material (e.g. 1745.4 to 1728 m in well 7128/6-1; (Fig 9.54). The lithology of the lower part of the formation changes somewhat toward the Loppa High where it is characterised by interbedded silicified marls, silty carbonate mudstone and calcareous claystone with some thin beds of spiculitic cherts (e.g. 3177 to 2860 m in well 7120/1-1 R2). The relative proportion of these facies varies laterally and spiculitic chert dominates well 7228/9-1 S (4064-4014 m) whereas the basal part of the formation in well 7121/1-1 R (3502-3367 m) is dominated by silicified silty carbonate mudstone. The upper part of the formation consists of interbedded spiculite, spiculitic chert, silicified bioclastic, bryozoan-dominated limestone (wackestone to grainstone), silicified carbonate mudstone, silicified marl and calcareous claystone (e.g. 3367 to 2993 m in 7121/1-1 R, 3800 to 3671 m in 7124/3-1 and 1688 to 1569 m in 7128/4-1). The silicified limestone is best developed on the Loppa High (reference wells 7120/1-1 R2 and 7121/1-1 R) and on the eastern Finnmark Platform (7128/4-1, 7128/12-U-01 and 7129/10-U-01, (Fig 9.59). The spiculitic deposits show variable clay and dolomitic lime mud content. These rocks are mainly tight, with no apparent porosity; however, on inner parts of the Finnmark Platform white to light grey porous spiculites are present in wells 7128/4-1, 7128/6-1 and 7128/12-U-01 (Fig 9.60 , 9.61a, 9.61b) – the porosities apparently reflecting secondary solution processes. ",Cores from 7128/12-U-01 and 7129/10-U-01 suggest a ?Kungurian to Kazanian – (?Tatarian) age (Mangerud 1994; Bugge et al. 1995). 
Rødby Formation,rødby formation,FORMATION,bjarmeland group,Norway,"The formation consists of a variety of facies that characterise carbonate buildups. The bulk of the formation consists of bryozoan- and bryozoan/Tubiphytes-dominated wackestones and cementstones with abundant early marine cement (Fig 9.44). Wackestones dominate the bioherm encountered in the type well, where a sparse assemblage of fenestrate bryozoans, brachiopods and crinoids formed a loose framework that trapped the carbonate mud. The wackestones also display Stromatactis-like cavities, which form a complex interconnected pore system. The cavities are often partly supported by fenestrate bryozoans and brachiopods, and are often filled by geopetal internal sediments with a grainstone or packstone fabric. The geopetal fabrics indicate that deposition occurred on primary slopes of up to 45o (Blendinger et al. 1997). The limestone is massive to thickly bedded, white to light grey, locally pinkish grey and light brownish grey in colour. In the lower part of the formation more thin bedded and silty limestones are locally present. The formation has a characteristic (very) low gamma ray response throughout, except for the thin units of silty limestones in the lower part (Fig 9.39). ","Fusulinids suggest a mid-Sakmarian age for the basal part of the formation in wells 7229/11-1 and 7121/1-1 R and a late Sakmarian age near the top of the formation in the same wells (Davydov 1998, Davydov 2000). Comparisons with overlying units suggest that the formational top is of ?earliest Artinskian age. "
Røye Formation,røye formation,FORMATION,bjarmeland group,Norway,"The formation consists of a variety of facies that characterise carbonate buildups. The bulk of the formation consists of bryozoan- and bryozoan/Tubiphytes-dominated wackestones and cementstones with abundant early marine cement (Fig 9.44). Wackestones dominate the bioherm encountered in the type well, where a sparse assemblage of fenestrate bryozoans, brachiopods and crinoids formed a loose framework that trapped the carbonate mud. The wackestones also display Stromatactis-like cavities, which form a complex interconnected pore system. The cavities are often partly supported by fenestrate bryozoans and brachiopods, and are often filled by geopetal internal sediments with a grainstone or packstone fabric. The geopetal fabrics indicate that deposition occurred on primary slopes of up to 45o (Blendinger et al. 1997). The limestone is massive to thickly bedded, white to light grey, locally pinkish grey and light brownish grey in colour. In the lower part of the formation more thin bedded and silty limestones are locally present. The formation has a characteristic (very) low gamma ray response throughout, except for the thin units of silty limestones in the lower part (Fig 9.39). ","Fusulinids suggest a mid-Sakmarian age for the basal part of the formation in wells 7229/11-1 and 7121/1-1 R and a late Sakmarian age near the top of the formation in the same wells (Davydov 1998, Davydov 2000). Comparisons with overlying units suggest that the formational top is of ?earliest Artinskian age. "
Sandnes Formation,sandnes formation,FORMATION,vestland group,Norway,"In the type well the Sandnes Formation consists of a massive white, very fine to coarse grained glauconitic sandstone. It is firm to friable, poorly sorted and slightly silty. In other wells (e.g. 18/11-1) the formation comprises inter-bedded sandstones and shales. The shales are generally dark grey to brown, micaceous and occasionally carbonaceous. ",Callovian. 
Sauda Formation,sauda formation,FORMATION,boknfjord group,Norway,"The lower part is mainly a dark grey claystone with some siltstone and pyrite. The upper part is more silty, commonly developed as a siltstone. Shell fragments and pyrite are common. ",Middle to Late Volgian. 
Sele Formation,sele formation,FORMATION,rogaland group,United Kingdom,"The Sele Formation consists of tuffaceous montmorillonite-rich shales and siltstones which are medium to dark grey or greenish-grey. They are finely laminated and carbonaceous, with minor interbeds of laminated sandstone which is frequently glauconitic. ",Late Paleocene. 
Skade Formation1),skade formation1),FORMATION,hordaland group,United Kingdom,"The formation consists of marine sandstones with thin claystone interbeds. The sandstones are clear to light grey, usually fine to medium, occasionally coarse grained, with subrounded to rounded grains which are moderately to well sorted. Traces of fossils, shell fragments, mica and abundant glauconite occur. In some wells the sandstones are interbedded with silty claystones as illustrated by reference well 15/9-13 (Fig 5.67). The formation often interfingers with the unnamed claystones of the Hordaland Group. ",Late Oligocene. 
Skagerrak Formation,skagerrak formation,FORMATION,hegre group,Norway,"The formation consists of interbedded conglomerates, sandstones, siltstones and shales. Various shades of reds and browns are the dominant colours but light to dark grey beds are also present. Sandstones may be orthoquartzitic arkosic or highly lithic. Anhydrite, dolomite and limestone are subordinate lithologies. ",Middle to Late Triassic. It may possibly extend down to the Early Triassic in the areas of maximum development. 
Sleipner Formation,sleipner formation,FORMATION,vestland group,Norway,"The formation consists of a mixed sandstone and silty claystone lithology with coal measures. The sandstones are non-calcareous, light to medium brown, fine to medium grained, with occasional coarse and pebbly layers. The sandstones show a moderate to poor sorting with sub-angular to sub-rounded grains. The silty claystones are medium to dark grey or greyish brown, micromicaceous, hard and slightly fissile. Coal fragments, fossil leaves and root hairs are commonly found. The coals are mature, black and massive, often with thin laminations of silty claystone. ","Usually Bajocian to Bathonian, but can locally be as young as Callovian (e.g. 15/12-1). "
Smith Bank Formation,smith bank formation,FORMATION,hegre group,Norway,"The formation consists of a monotonous sequence of brick red, somewhat silty, claystones with a few thin sandstone streaks and some anhydrite bands, especially in the lower part. Minor components, particularly in the Norwegian sector, are conglomerate, dark shale, marl, limestone and dolomite. In some localities sandy units may be present at the base. Over most of the eastern sector of the North Sea these sandy units are local and unconnected but south-eastward they become more continuous. ",Early to possibly Late Triassic. 
Snadd Formation,snadd formation,FORMATION,storfjorden subgroup,Norway,"Basal grey shales coarsen up into shales with interbeds of grey siltstones and sandstones. Limestones and calcareous interbeds are relatively common in the lower and middle parts of the unit, while thin coaly lenses are developed locally further up. Distinctive dusky red-brown shales occur near the top of the unit. Lateral and vertical lithological variations may provide the basis for 2 to 4 member subdivisions or for the establishment of several formations. ",A Ladinian to early Norian age is suggested. Correlations around the Ladinian/Carnian transition suggest earlier deposition of coarse elastics in central than in southern parts of the Hammerfest Basin. 
Sognefjord Formation,sognefjord formation,FORMATION,viking group,Norway,"The formation consists of sandstones and sands, grey-brown in colour, medium to coarse grained, well sorted and friable to unconsolidated. Locally the formation is weakly micaceous with minor argillaceous and carbonaceous beds. Bioclastic material and occasional cemented bands occur locally. ",Oxfordian to Kimmeridgian/Volgian. 
Sola Formation,sola formation,FORMATION,cromer knoll group,Norway,"The Sola Formation consists of shales interbedded with stringers of marlstone and limestone. The carbonate content is lower than that in the underlying Tuxen and Åsgard formations and the overlying Rødby Formation. The colour is black or dark grey, but olive-grey, brown and red colours occur. The shales are finely laminated and often very pyritic. ",The Sola Formation is of Mid Aptian-Early Albian age. A possible Middle (Late) Barremian-Albian age is recorded from Danish wells (Heilmann-Clausen 1986). 
Soldogg Formation,soldogg formation,FORMATION,billefjorden group,Norway,"Sandstones and conglomeratic sandstones with thin beds and laminae of carbonaceous siltstones, shales and coal dominate the formation. The cored interval in well 7128/4-1 (core 4) consists of cross-bedded and laminated sandstones and siltstones with three coal beds, each less than 1 m thick (Fig 9.8 ,9.13). Coal beds occur most abundantly in the upper part of the formation in this well, but are not as abundant as in the overlying Tettegras Formation. Petrographic examination of sidewall cores and cuttings from well 7128/6-1 shows a dominance of medium- to coarse-grained quartzose sandstones similar to those observed in well 7128/4-1. Shallow core 7029/03-U-01 is dominated by fining-upward units of conglomerates and laminated and trough cross-bedded sandstones (Fig 9.14 , 9.15). Siltstones are rare in this core. ","Based on palynological data, the basal Soldogg Formation is no older than the middle Viséan TC Miospore Zone in well 7128/4-1 (Geochem Group 1994). The rest of the formation in this well is assigned to the NM Miospore Zone in terms of the NW European Miospore zonation of Clayton et al. (1977). Simon-Robertson (1992) assigned the interval assigned herein to the Soldogg Formation in well 7128/6-1 to the upper part of the TC and the NM Miospore zones and a similar age range is given for the formation in 7029/03-U-01 (Bugge et al. 1995). "
Spekk Formation,spekk formation,FORMATION,viking group,Norway,The formation consists of dark brown to dark grey shale. The shale is predominantly non-calcareous. Parts of the unit may be silty. The organic content (mainly of type II kerogen) is very high. ,Oxfordian to Ryazanian. 
Springar Formation,springar formation,FORMATION,shetland group,Norway,Predominantly greyish-green claystones interbedded with stringers of carbonates and sandstones. ,Campanian to Maastrichtian. 
Statfjord Group,statfjord group,SUB-GROUP,realgrunnen subgroup,Norway,"The group exhibits a transition from continental to shallow marine sediments. In the type well area it is a transitional ""coarsening upward"" sequence in the basal parts consisting of grey, green and sometimes red shale interbedded with thin siltstones, sandstones and dolomitic limestones. Above are massive white to grey sandstone bodies interbedded with greenish-grey to red-brown shales. The top part of the group consists of thick, white to grey, fossiliferous and glauconitic sandstones. On the Horda Platform, east of the Viking Graben, the group consists of massive, white, fine to coarse grained sandstones inter-bedded with light grey, and sometimes red, silty micaceous, lignitic shales. Towards the east the frequency of black, coaly shales and coal layers increases. ",The formation ranges in age from Rhaetian to Sinemurian. 
Steinkobbe Formation,steinkobbe formation,FORMATION,realgrunnen subgroup,Norway,"Moderately to well-sorted and mineralogically mature sandstones are dominant. Thin units of shale and siltstone are clear markers; phosphatic lag conglomerates occur in some wells, especially in upper parts of the unit. ","A late Pliensbachian to Bajocian age is indicated by present data. The base is apparently diachronous, younging from west to east in the Hammerfest Basin. "
Stø Formation,stø formation,FORMATION,shetland group,Norway,Predominantly greyish-green claystones interbedded with stringers of carbonates and sandstones. ,Campanian to Maastrichtian. 
Svarte Formation,svarte formation,FORMATION,shetland group,Norway,"The formation generally consists of mudstones interbedded with limestones. Sandstones occur in the Agat area. The content of limestones relative to mudstones is generally lower in the northern than in the southern part of the Viking Graben. The mudstones are medium to light grey, often calcareous, occasionally micaceous, glauconitic and pyritic. The limestones are mainly white to medium grey, argillaceous or sandy. The sandstones are clear to light grey and often cemented by calcite. ",Cenomanian. 
Tang Formation,tang formation,FORMATION,rogaland group,United Kingdom,Dark grey to brown claystone with minor sandstone and limestone. ,Danian to late Paleocene. 
Tarbert Formation,tarbert formation,FORMATION,brent group,United Kingdom,"In the type well section it consists of grey to brown relatively massive fine to medium grained sandstone with subordinate thin siltstone, shale and coal beds and some calcareous bands. On the Horda Platform the formation usually constitutes one or more ""coarsening upward"" sequences of fine to medium, occasionally coarse, micaceous and carbonaceous sandstones, which become increasingly silty and argillaceous downward. Stringers of calcite cemented sandstone and coal beds occur in this area. ",Bajocian to Bathonian. 
Tare Formation,tare formation,FORMATION,rogaland group,United Kingdom,"Dark grey, green or brown claystones with some thin sandstone stringers show a variable content of tuff. ",Late Paleocene. 
Tau Formation,tau formation,FORMATION,boknfjord group,Norway,"The Tau Formation consists of dark grey to black, pyritic, fissile, organic-rich slightly to non-calcareous shales. ",Kimmeridgian to Early Volgian. 
Teist Formation (informal),teist formation (informal),FORMATION,hegre group,Norway,"The Teist Formation consists of interbedded sandstone, claystone and marl. The sandstones are dominantly very fine to fine-grained, dark red brown and calcareous. In addition white and pink, medium to coarse sandstone is present in the upper levels of the succession. Red marl forms the main argillaceous lithology with green and dark grey claystone as subordinate constituents. In the type well ( 33/12-5) the formation is a gradual coarsening upward succession with an upward increase in sandstone/ shale ratio. To the north, in the reference well ( 33/5-1), fine-grained sandstone is the dominant lithology throughout most of the formation except for the lowermost 24 m which consist of a red marl. ",Probably early Triassic (?Scythian) in well 33/5-1 to late Triassic (Carnian) in well 33/12-5. 
Tettegras Formation,tettegras formation,FORMATION,billefjorden group,Norway,"The formation is dominated by alternating beds of fine-grained sandstone, siltstone, claystone and coal. The sediments are generally stacked to form less than 5 m thick fining upward units of supposed delta-plain or coastal flood-plain origin, separated by thicker units of fluvial sandstone and siltstone. Well logs suggest that the cored intervals are representative of the entire unit in this area. ","In the type well (7128/6-1) the interval below 2251 m is assigned to the Viséan TC-NM Miospore zones of Clayton et al. (1977) whereas the upper part is dated as belonging to the VF Miospore Zone (Simon-Robertson 1992). Similar ages are reported from well 7128/4-1 (Geochem Group, 1994), whereas the formation is dated as belonging entirely to the TC-NM Miospore zones in the IKU cores 7027/10-U-02 and –03 (Bugge et al. 1995). "
Tilje Formation,tilje formation,FORMATION,bÚt group,Norway,Very fine to coarse-grained sandstones are interbedded with shales and siltstones. The sandstones are commonly moderately sorted with a high clay content and most beds are bioturbated. Shale clasts and coaly plant remains are common. Pure shale beds are rare; most of the finer grained interbeds are silty or sandy. ,Sinemurian to Pliensbachian. 
Tofte Formation,tofte formation,FORMATION,bÚt group,Norway,"The Tofte Formation consists of moderately to poorly sorted coarse-grained sandstones which often show large-scale cross bedding. In the type section the quartz content is generally higher than 90%, although the sediment is texturally immature. Bioturbation occurs throughout the cored intervals, especially in zones of very poor sorting and high clay content. ",Pliensbachian to Toarcian. 
Tor Formation,tor formation,FORMATION,shetland group,Norway,"In the type well the formation consists of white to light grey, tan to pink, hard, chalky limestones. The formation is generally homogenous, or consists of alternating white, grey or beige, moderately hard to very hard, rarely soft, mudstones or wackestones, rarely packstones, chalks, chalky limestones or limestones. Occasional fine layers of soft grey-green or brown marl occur and also rare stringers of grey to green calcareous shales. ",Late Campanian to Maastrichtian. 
Torsk Formation,torsk formation,FORMATION,sotbakken group,Norway,"Light to medium grey or greenish-grey generally non-calcareous claystones dominate in the type well. Rare siltstone/limestone stringers occur throughout the section, and tuffaceous horizons are often seen in the lower parts of the unit. ",Late Paleocene to Oligocene. 
Tryggvason Formation,tryggvason formation,FORMATION,shetland group,Norway,"The Tryggvason Formation consists generally of mudstones with interbedded limestones. Interbedded sandstones are common in the Agat area. The content of limestones relative to mudstones is generally lower in the northern part of the Viking Graben (from blocks 30/2 and 30/3 northwards) than in the southern part. At the transition between the Viking Graben and the Horda Platform (e.g. block 30/11, (Fig 5.36), the formation consists of limestone. The mudstones are light to dark grey, often calcareous, occasionally micaceous, glauconitic and pyritic. The limestones are white to light grey or brownish grey and argillaceous. The sandstones are clear to light grey, very fine to fine grained and cemented by calcite. ",Early to Mid Turonian. 
Tubåen Formation,tubåen formation,FORMATION,shetland group,Norway,"The formation is dominated by sandstones with subordinate shales and minor coals. Coals are most abundant near southeastern basinal margins, and die out to the northwest. The formation generally has a tripartite development, with a lower and upper sand-rich unit separated by a more shaly interval. Shale content increases towards the northwest where the Tubåen Formation may intercalate with a lateral shale equivalent. ",The formation base is of late Rhaetian to early Hettangian age; the unit may locally extend upwards into the Sinemurian. 
Tuxen Formation,tuxen formation,FORMATION,cromer knoll group,Norway,"The formation is dominated by white to greyish-pink, calcareous claystones and marlstones. Along some of the structural highs the marlstones grade into purer limestones. Generally, the formation terminates vertically upwards with a chalk sequence containing subordinate marlstone layers. This chalk is white to pale orange or yellowish-grey, occasionally greenish and reddish. The marlstones are generally light grey to greenish-grey or olive-grey, but may be reddish-brown in some wells.^A 0.3-1 m thick, radioactive, marlstone bed is frequently encountered within the Tuxen Formation in the Danish sector where it is defined as the Munk Marl Bed. This characteristic unit has also been recognised in some wells in the central Norwegian sector (e.g. 2/1-2, 2/1-3, 2/1-8, 2/6-2, 2/11-7, 6/3-1, 16/8-1 and 16/10-1), (see also (Fig 5.15). In the Norwegian sector, the Tuxen Formation above the Munk Marl Bed is often more calcareous than the rest of the sequence. ","Late Hauterivian to Late Barremian (Heilmann-Clausen 1987, Thomsen 1987). "
Ty Formation ,ty formation ,FORMATION,rogaland group,United Kingdom,"The Ty Formation consists of clean sandstones, generally massive and clear to light grey in colour. Distally the sandstones are interbedded with dark grey shales, but the sandstone bodies tend to be clean. ",Early Paleocene. 
Ugle Formation,ugle formation,FORMATION,gipsdalen group,Norway,"The formation is characterised by reddish-brown to brown conglomerates, coarse-grained sandstones and minor siltstones. In well 7120/2-1, the formation is dominated by approximately 10 metre thick fining-upward units of reddish brown coloured conglomerate to siltstone with light grey calcite nodules at the top (Fig 9.20). The pebbles are dominated by variously coloured volcanoclastic material with red- and grey coloured feldspar crystals. The core from 7029/03-U-02 consists of alternating fining-upward coarse pebbly sandstones and reddish brown and greyish green mottled siltstones (Fig 9.23). Sediments are more fine-grained in well 7120/12-4 and they mainly consist of reddish brown to brown mottled sandy siltstones with frequent light grey to greyish green calcareous nodules (Fig 9.22). ","Dating of the formation is difficult because of its lack of fossils. However, a diverse palynomorph assemblage of late Serpukhovian to early Bashkirian age (SO-KV Zone) has been reported recently in well 7120/2-1 in the interval around 2420 m (Lindström, in press). The youngest age of the formation is suggested by the basal part of the overlying Falk Formation, dated as late Bashkirian in well 7120/2-1 (Stemmerik et al. 1998). "
Ula Formation,ula formation,FORMATION,vestland group,Norway,"In the type well the Ula Formation is a generally massive, fine to medium grained, grey sandstone. A thin, dark grey siltstone is present in the basal part of the formation. The sandstones are arkosic to subarkosic, glauconitic and micaceous. Sorting and angularity vary between individual units of the formation. Bivalve shells and belemnite debris occur, often concentrated in thin lag deposits. Thin, nodular calcite-cemented bands are common.^Within the Ula Field the Ula Formation can be subdivided into a number of units on the basis of large scale coarsening upward and fining upward cycles (Bailey et al., op. cit.). The sandstones are extensively bioturbated throughout, and this usually obliterates smaller scale sedimentary features. However, in rare zones, parallel or low angle inclined lamination and planar cross bedding are preserved. ","Oxfordian to Ryazanian. In the region of the Ula Field the sands are Oxfordian to Early Volgian in age. Around the fringes of the Jæren and Mandal Highs and locally on the Southern Vestland Arch, developments of the formation may be as young as Middle/Late Volgian or possibly Ryazanian. "
Ulv Formation,ulv formation,FORMATION,bjarmeland group,Norway,"Dark fine-grained bioclastic limestones dominate the formation. The dominant microfacies are bryozoan-crinoidal wackestones and more rarely packstones. Additional faunal elements include siliceous sponges, brachiopods and rare fusulinids. The limestone is thinly bedded and often contains thin silt laminae. Shales and silty limestones are locally abundant and chert nodules occur locally. The formation includes thin, less than 15 m, units of coarser grained bioclastic limestone that lithologically resemble the overlying Isbjørn Formation’s dominant lithologies. ",Fusulinids suggest a mid-Sakmarian to Artinskian age (Davydov 2000). 
Utsira Formation1),utsira formation1),FORMATION,nordland group,United Kingdom,"The formation consists of marine sandstones and claystones. The sandstones are clear to white, often light greenish and normally very fine to fine grained, in places medium to very coarse grained. Occasionally rock fragments and lignite are found. The sandstones are separated by soft, plastic, light greenish claystones and minor siltstones. Glauconite and fossil fragments are common throughout. ",Middle to Late Miocene. 
Vade Formation,vade formation,FORMATION,cromer knoll group,Norway,"The formation is dominated by light to dark grey, olive-grey, greenish and brownish, often calcareous claystones, and passes into light grey, light greenish-grey and light olive-grey marlstones and stringers of limestone. Mica, pyrite and glauconite are common. The claystones may be silty, and siltstones or very fine-grained sandstone layers or laminae are present. Where major sandstone layers occur they are regarded as belonging to the Ran sandstone units. In a few Norwegian wells in the central North Sea (e.g. 1/9-3 R, 2/3-1, 2/7-2, 2/10-1 S, 2/11-1, 7/3-1, 7/8-2, 7/12-4, 7/12-5 and 8/1-1) a sequence of calcareous claystone, marlstone and limestone interbeds is recognised as the basal part of the Åsgard Formation (Fig 5.12 , 5.14). This sequence is very difficult to correlate in the Norwegian sector, even over small distances, and is therefore regarded as representing local variations in the lowermost part of the Åsgard Formation. In the Danish sector this sequence is defined as the Leek Member (Jensen et al. 1986). ","Where the Tuxen Formation occurs, the Åsgard Formation ranges in age from Late Ryazanian to Late Hauterivian. In areas where neither the Tuxen nor Sola formations are recognised, the Åsgard Formation represents a lateral equivalent and may reach Late Aptian to Early Albian age. "
